463,385,387,263,373,380
"[0.5021427869796753, 0.5083936452865601]","[0.5406910181045532, 0.5014430284500122]","[0.5741216540336609, 0.5016688704490662]","[0.5982584953308105, 0.508069634437561]","[0.5714059472084045, 0.513452410697937]","[0.5382647514343262, 0.5131120085716248]"
"[0.5038641095161438, 0.5036497116088867]","[0.543520987033844, 0.4941553473472595]","[0.5778360366821289, 0.4948146641254425]","[0.6021636724472046, 0.5029712319374084]","[0.5757699012756348, 0.5094653367996216]","[0.5415468215942383, 0.5091913342475891]"
"[0.5023988485336304, 0.5035269260406494]","[0.5415483713150024, 0.49500572681427]","[0.5755492448806763, 0.4955753982067108]","[0.6007657647132874, 0.5033547878265381]","[0.574413537979126, 0.5091166496276855]","[0.5401595830917358, 0.5088537335395813]"
"[0.502637505531311, 0.5034303665161133]","[0.5424218773841858, 0.49511656165122986]","[0.5769004821777344, 0.49570614099502563]","[0.6021599173545837, 0.5033951997756958]","[0.5755746364593506, 0.5093420743942261]","[0.5408263802528381, 0.5089800357818604]"
"[0.5041540265083313, 0.5031266808509827]","[0.5439785718917847, 0.49474701285362244]","[0.578590989112854, 0.49525555968284607]","[0.6037766933441162, 0.5028245449066162]","[0.5772068500518799, 0.508864164352417]","[0.5423645973205566, 0.508572518825531]"
"[0.5032710433006287, 0.5031872987747192]","[0.5428735613822937, 0.49466150999069214]","[0.5773877501487732, 0.49528375267982483]","[0.6022567749023438, 0.502981424331665]","[0.5760809183120728, 0.5089421272277832]","[0.5413846969604492, 0.5086408853530884]"
"[0.5014404058456421, 0.5035598874092102]","[0.5407809615135193, 0.4946909546852112]","[0.5753505229949951, 0.49521028995513916]","[0.6004961729049683, 0.5031400322914124]","[0.5744698643684387, 0.5094290375709534]","[0.539726734161377, 0.5092520713806152]"
"[0.5013357996940613, 0.5033549666404724]","[0.5404988527297974, 0.49445608258247375]","[0.574836254119873, 0.49506381154060364]","[0.599623441696167, 0.5031507015228271]","[0.5739790797233582, 0.5093169808387756]","[0.5394447445869446, 0.5090901255607605]"
"[0.502620279788971, 0.5030494332313538]","[0.5420783758163452, 0.49367353320121765]","[0.5766224265098572, 0.4943297207355499]","[0.6015110015869141, 0.5026698112487793]","[0.5755847692489624, 0.5089515447616577]","[0.5409662127494812, 0.5087407231330872]"
"[0.5002074241638184, 0.503530740737915]","[0.5391252040863037, 0.49395573139190674]","[0.5733293890953064, 0.49468961358070374]","[0.5978235006332397, 0.5031614303588867]","[0.572102427482605, 0.5091152191162109]","[0.5379295945167542, 0.5089013576507568]"
"[0.5002891421318054, 0.503994345664978]","[0.538888156414032, 0.4947652518749237]","[0.5727815628051758, 0.4954648017883301]","[0.5971229672431946, 0.5036752223968506]","[0.571773886680603, 0.5097296833992004]","[0.5377526879310608, 0.5095263719558716]"
"[0.5004850029945374, 0.5040945410728455]","[0.5391777157783508, 0.49463945627212524]","[0.573304295539856, 0.49503061175346375]","[0.5983039140701294, 0.5030825138092041]","[0.572463870048523, 0.5094496011734009]","[0.5382031798362732, 0.5094038248062134]"
"[0.5010409951210022, 0.5035811066627502]","[0.5396531224250793, 0.4939894378185272]","[0.5736020803451538, 0.49446627497673035]","[0.5981725454330444, 0.5025017261505127]","[0.5725988745689392, 0.5087083578109741]","[0.538451075553894, 0.5087536573410034]"
"[0.5005422830581665, 0.5032804608345032]","[0.5395342111587524, 0.49310120940208435]","[0.5737552642822266, 0.4936813712120056]","[0.5979112386703491, 0.5021980404853821]","[0.572303295135498, 0.5084818601608276]","[0.5381152033805847, 0.5085365772247314]"
"[0.5001451969146729, 0.5033106803894043]","[0.5391518473625183, 0.49319615960121155]","[0.5733110308647156, 0.49395155906677246]","[0.5971808433532715, 0.5024979710578918]","[0.5716385841369629, 0.5086705684661865]","[0.5375737547874451, 0.5086102485656738]"
"[0.5005695819854736, 0.5036929249763489]","[0.5397405028343201, 0.49365079402923584]","[0.5739729404449463, 0.49435997009277344]","[0.5978587865829468, 0.5027403831481934]","[0.5721614360809326, 0.509061336517334]","[0.537962794303894, 0.5089673399925232]"
"[0.49871206283569336, 0.5038927793502808]","[0.53752201795578, 0.49381476640701294]","[0.5715439319610596, 0.49445250630378723]","[0.5954245328903198, 0.5028437972068787]","[0.5701401829719543, 0.5092053413391113]","[0.5361422896385193, 0.5091985464096069]"
"[0.49933910369873047, 0.5032761693000793]","[0.5386447310447693, 0.49265843629837036]","[0.5731105804443359, 0.4932960867881775]","[0.5969556570053101, 0.5019220113754272]","[0.5712345242500305, 0.5084061026573181]","[0.5369835495948792, 0.5084350109100342]"
"[0.49787914752960205, 0.5035821795463562]","[0.5365525484085083, 0.49327540397644043]","[0.5704043507575989, 0.4939675033092499]","[0.5939265489578247, 0.502640426158905]","[0.568958044052124, 0.5090517401695251]","[0.5351818799972534, 0.5090537071228027]"
"[0.49863260984420776, 0.5036585330963135]","[0.5380533337593079, 0.49314650893211365]","[0.5725870728492737, 0.49393531680107117]","[0.5964175462722778, 0.5027287006378174]","[0.5707196593284607, 0.5091952681541443]","[0.5363806486129761, 0.509099543094635]"
"[0.49732714891433716, 0.5035894513130188]","[0.536338210105896, 0.4935397505760193]","[0.5703871250152588, 0.49431145191192627]","[0.5942224860191345, 0.5029070377349854]","[0.5690420269966125, 0.5092032551765442]","[0.5349342226982117, 0.5091496706008911]"
"[0.4979517161846161, 0.5036793947219849]","[0.5372004508972168, 0.4935920834541321]","[0.5713783502578735, 0.49441495537757874]","[0.5956339240074158, 0.5029306411743164]","[0.5696489214897156, 0.5090919137001038]","[0.5354501008987427, 0.5089104175567627]"
"[0.4964902400970459, 0.5036264061927795]","[0.5354814529418945, 0.4933101534843445]","[0.5696045756340027, 0.4940491318702698]","[0.5937296152114868, 0.5028042793273926]","[0.568472683429718, 0.5091974139213562]","[0.5343401432037354, 0.5092126131057739]"
"[0.49797186255455017, 0.503663957118988]","[0.537155032157898, 0.49366146326065063]","[0.5714835524559021, 0.4944780170917511]","[0.5957375764846802, 0.5029559135437012]","[0.569868803024292, 0.509131908416748]","[0.5356169939041138, 0.5089390873908997]"
"[0.49506622552871704, 0.5042680501937866]","[0.5333149433135986, 0.4944983422756195]","[0.5669519305229187, 0.495311439037323]","[0.5908918380737305, 0.5038626194000244]","[0.5660254955291748, 0.5098162889480591]","[0.5323730707168579, 0.5097137093544006]"
"[0.4959404766559601, 0.5047668814659119]","[0.5348116159439087, 0.49465787410736084]","[0.5689694285392761, 0.4949301481246948]","[0.5940414071083069, 0.5031721591949463]","[0.5680850744247437, 0.509394645690918]","[0.5338308811187744, 0.5095662474632263]"
"[0.4960821866989136, 0.5047159790992737]","[0.5345965027809143, 0.4950859546661377]","[0.568138062953949, 0.49577730894088745]","[0.5925087928771973, 0.5042532682418823]","[0.5671308636665344, 0.5103053450584412]","[0.5333545804023743, 0.510232150554657]"
"[0.4972217082977295, 0.5035288333892822]","[0.5371192693710327, 0.49286672472953796]","[0.5722554922103882, 0.4938793182373047]","[0.5962390303611755, 0.503169059753418]","[0.5706626772880554, 0.5092875361442566]","[0.5358414649963379, 0.5091334581375122]"
"[0.49748894572257996, 0.5035266876220703]","[0.5367984771728516, 0.4932522773742676]","[0.5715408325195312, 0.49393853545188904]","[0.5960934162139893, 0.5027071833610535]","[0.5703591108322144, 0.5088437795639038]","[0.5358642339706421, 0.5088227391242981]"
"[0.49726682901382446, 0.5027140378952026]","[0.535834789276123, 0.4931104779243469]","[0.5699806809425354, 0.4939182996749878]","[0.5940723419189453, 0.5023837685585022]","[0.5688895583152771, 0.5082060098648071]","[0.5349864959716797, 0.5080723166465759]"
"[0.49650299549102783, 0.5028831362724304]","[0.53504878282547, 0.49269744753837585]","[0.5694159865379333, 0.49327051639556885]","[0.5935363173484802, 0.5017564296722412]","[0.5683731436729431, 0.5077652335166931]","[0.5343353152275085, 0.5078406929969788]"
"[0.4972282648086548, 0.502912163734436]","[0.5365639925003052, 0.4925980567932129]","[0.5710776448249817, 0.49331751465797424]","[0.5952123999595642, 0.5018935799598694]","[0.5694813132286072, 0.5079537034034729]","[0.5351216793060303, 0.5079053044319153]"
"[0.4961801767349243, 0.5028265118598938]","[0.5351033210754395, 0.49271535873413086]","[0.5694072842597961, 0.4935693144798279]","[0.5934165120124817, 0.502212643623352]","[0.567773163318634, 0.507999062538147]","[0.5337077379226685, 0.5078400373458862]"
"[0.49571478366851807, 0.502650260925293]","[0.5349711775779724, 0.49224352836608887]","[0.5695632100105286, 0.49298202991485596]","[0.5937671065330505, 0.501729428768158]","[0.5681298971176147, 0.5077877640724182]","[0.5337651968002319, 0.5077652335166931]"
"[0.4962504804134369, 0.5024510025978088]","[0.5358311533927917, 0.49188095331192017]","[0.5706809759140015, 0.49255865812301636]","[0.5948909521102905, 0.5013096332550049]","[0.5691453218460083, 0.5075101256370544]","[0.534474790096283, 0.5075060725212097]"
"[0.4958636164665222, 0.5025359392166138]","[0.5355343818664551, 0.4914414882659912]","[0.5706154704093933, 0.4918944239616394]","[0.595123291015625, 0.5007182359695435]","[0.5692267417907715, 0.5072809457778931]","[0.5343565940856934, 0.5074676275253296]"
"[0.4975091814994812, 0.5022764801979065]","[0.5364100337028503, 0.49184784293174744]","[0.5706764459609985, 0.49252384901046753]","[0.5941898822784424, 0.5009785294532776]","[0.5686972737312317, 0.5071857571601868]","[0.5346943736076355, 0.5071041584014893]"
"[0.4986867308616638, 0.5023300647735596]","[0.5382499098777771, 0.49162548780441284]","[0.5731430053710938, 0.49232590198516846]","[0.5968698263168335, 0.5010674595832825]","[0.571142852306366, 0.5074416995048523]","[0.5366296172142029, 0.5073583722114563]"
"[0.49920955300331116, 0.5023493766784668]","[0.5384578704833984, 0.4918392598628998]","[0.5729914903640747, 0.492525577545166]","[0.5966248512268066, 0.5011324882507324]","[0.5709490776062012, 0.5073670148849487]","[0.5367286801338196, 0.5072555541992188]"
"[0.49858978390693665, 0.5026264190673828]","[0.537719190120697, 0.492492139339447]","[0.5721389055252075, 0.493294358253479]","[0.5956317186355591, 0.5018884539604187]","[0.5699764490127563, 0.5079595446586609]","[0.5358880758285522, 0.5077233910560608]"
"[0.49832651019096375, 0.5026360154151917]","[0.5374249815940857, 0.4923841953277588]","[0.5718035101890564, 0.49322816729545593]","[0.595079779624939, 0.5019567608833313]","[0.5698675513267517, 0.5080287456512451]","[0.5358195304870605, 0.5078631043434143]"
"[0.49971774220466614, 0.5025153160095215]","[0.5390806198120117, 0.4920889735221863]","[0.5736101865768433, 0.4928652048110962]","[0.5970978140830994, 0.5016087889671326]","[0.5717170834541321, 0.5077381730079651]","[0.5374536514282227, 0.507610023021698]"
"[0.49878475069999695, 0.5026751160621643]","[0.5379905104637146, 0.49248817563056946]","[0.5724562406539917, 0.49324268102645874]","[0.5960404872894287, 0.5018764734268188]","[0.5705124735832214, 0.5079848766326904]","[0.5363587141036987, 0.5078266263008118]"
"[0.49885520339012146, 0.5025489926338196]","[0.5382049679756165, 0.4925628900527954]","[0.5726144313812256, 0.49344849586486816]","[0.5962131023406982, 0.5021049976348877]","[0.5706460475921631, 0.5080972909927368]","[0.5364435315132141, 0.5078509449958801]"
"[0.49877268075942993, 0.5021215677261353]","[0.5376025438308716, 0.49245786666870117]","[0.5718073844909668, 0.4933463931083679]","[0.5954002141952515, 0.5019291043281555]","[0.5700735449790955, 0.5078403353691101]","[0.5360714793205261, 0.50752192735672]"
"[0.4989035725593567, 0.5022038221359253]","[0.5378060340881348, 0.49229195713996887]","[0.5719740390777588, 0.4930557310581207]","[0.5955944061279297, 0.5016152262687683]","[0.570477306842804, 0.5076528191566467]","[0.5363950729370117, 0.5074761509895325]"
"[0.49895286560058594, 0.5022072792053223]","[0.537761390209198, 0.4927482604980469]","[0.5719050168991089, 0.49362844228744507]","[0.5959236025810242, 0.5020377039909363]","[0.5704245567321777, 0.507786750793457]","[0.5363885164260864, 0.5074648261070251]"
"[0.4983445703983307, 0.502181887626648]","[0.5369815230369568, 0.4925221800804138]","[0.5710819363594055, 0.49340295791625977]","[0.5949983596801758, 0.501950204372406]","[0.5695624947547913, 0.50776606798172]","[0.535645604133606, 0.5074872970581055]"
"[0.49625349044799805, 0.5019823312759399]","[0.5352945923805237, 0.4922892451286316]","[0.5696603059768677, 0.49284717440605164]","[0.5945407152175903, 0.5010865330696106]","[0.568770170211792, 0.5070735216140747]","[0.5342726707458496, 0.50701904296875]"
"[0.4966312646865845, 0.5021340250968933]","[0.5359636545181274, 0.4923411011695862]","[0.5704619884490967, 0.49303174018859863]","[0.5951482057571411, 0.5015082955360413]","[0.5689387917518616, 0.5074126124382019]","[0.5344945788383484, 0.5072247982025146]"
"[0.4964906573295593, 0.5023775100708008]","[0.5359448194503784, 0.4928053319454193]","[0.5704062581062317, 0.4936882257461548]","[0.594953179359436, 0.5022905468940735]","[0.5689845085144043, 0.5081502199172974]","[0.5344893932342529, 0.5078431367874146]"
