78,82,312,308,317,87
"[0.3688850998878479, 0.6329433917999268]","[0.4305996894836426, 0.6228221654891968]","[0.4703817665576935, 0.6223918795585632]","[0.5235912203788757, 0.6311187148094177]","[0.4712124466896057, 0.6278976798057556]","[0.4271028935909271, 0.6283976435661316]"
"[0.36612576246261597, 0.6287207007408142]","[0.42480239272117615, 0.62183678150177]","[0.4638219177722931, 0.6218775510787964]","[0.5188132524490356, 0.6288572549819946]","[0.4645635783672333, 0.6253363490104675]","[0.42285946011543274, 0.6252722144126892]"
"[0.3671192228794098, 0.631615936756134]","[0.42591458559036255, 0.621350109577179]","[0.4653083086013794, 0.6208091974258423]","[0.519856870174408, 0.6295740604400635]","[0.46599599719047546, 0.6241549253463745]","[0.42446085810661316, 0.6247146725654602]"
"[0.3632158637046814, 0.6323254704475403]","[0.42418375611305237, 0.6218435168266296]","[0.4653131067752838, 0.6214332580566406]","[0.521099865436554, 0.6307211518287659]","[0.465553343296051, 0.6262199282646179]","[0.42221176624298096, 0.6266633868217468]"
"[0.36097389459609985, 0.6325717568397522]","[0.4249236285686493, 0.6222354769706726]","[0.4680052697658539, 0.6219509840011597]","[0.5243639945983887, 0.6313799023628235]","[0.46793490648269653, 0.6279377937316895]","[0.4229241609573364, 0.6282878518104553]"
"[0.36311495304107666, 0.631679356098175]","[0.4265516400337219, 0.6211577653884888]","[0.4685477316379547, 0.6208937168121338]","[0.5222607254981995, 0.6304642558097839]","[0.4684290885925293, 0.6273242235183716]","[0.4243929386138916, 0.6276580095291138]"
"[0.36274126172065735, 0.6342341303825378]","[0.4259801506996155, 0.6229429841041565]","[0.46785420179367065, 0.6225221753120422]","[0.5221104025840759, 0.6324094533920288]","[0.4680003225803375, 0.6293875575065613]","[0.42387425899505615, 0.6299102902412415]"
"[0.36178329586982727, 0.6328440308570862]","[0.42573902010917664, 0.621808648109436]","[0.4679563343524933, 0.6214997172355652]","[0.5219259858131409, 0.6313308477401733]","[0.46760907769203186, 0.627830982208252]","[0.4233700931072235, 0.6282323598861694]"
"[0.3627862334251404, 0.6327593922615051]","[0.4263812303543091, 0.6222569942474365]","[0.4687162935733795, 0.6219971179962158]","[0.5229761004447937, 0.6315878033638]","[0.46874505281448364, 0.628341555595398]","[0.424533873796463, 0.628668487071991]"
"[0.36152106523513794, 0.6318022608757019]","[0.4251573085784912, 0.6212269067764282]","[0.4674089848995209, 0.6209920644760132]","[0.521605372428894, 0.6306215524673462]","[0.46713852882385254, 0.6267902851104736]","[0.42333951592445374, 0.6270914673805237]"
"[0.36216849088668823, 0.6326950192451477]","[0.4266206622123718, 0.6222925782203674]","[0.468849241733551, 0.6219986081123352]","[0.5226379632949829, 0.6312998533248901]","[0.4687900245189667, 0.627663254737854]","[0.4249669909477234, 0.6280285120010376]"
"[0.363355815410614, 0.6330567598342896]","[0.4261535406112671, 0.622427761554718]","[0.4680841863155365, 0.622012734413147]","[0.5219902992248535, 0.6313124299049377]","[0.468218058347702, 0.6280112266540527]","[0.4246910512447357, 0.6284933090209961]"
"[0.3621469736099243, 0.6324788331985474]","[0.4274587631225586, 0.6225172281265259]","[0.47059980034828186, 0.6220411062240601]","[0.5255621075630188, 0.6305369734764099]","[0.4703742563724518, 0.6273214221000671]","[0.425950288772583, 0.6278560161590576]"
"[0.3607619106769562, 0.6316652894020081]","[0.4259814918041229, 0.6222355365753174]","[0.46892353892326355, 0.6218146681785583]","[0.5240435004234314, 0.6299815773963928]","[0.4686601459980011, 0.6263183951377869]","[0.4244531989097595, 0.6267649531364441]"
"[0.3616639971733093, 0.6316046118736267]","[0.42592760920524597, 0.6227810382843018]","[0.46781396865844727, 0.6226040124893188]","[0.5213269591331482, 0.6308839321136475]","[0.46790021657943726, 0.6272724270820618]","[0.4246359169483185, 0.627482533454895]"
