133,158,160,33,144,153
"[0.3880298435688019, 0.5107763409614563]","[0.3545061945915222, 0.5049279928207397]","[0.3214736580848694, 0.5070396661758423]","[0.29618778824806213, 0.5137605667114258]","[0.3249232769012451, 0.5175544023513794]","[0.3586384654045105, 0.5161318778991699]"
"[0.38940173387527466, 0.5035017132759094]","[0.3574150800704956, 0.4938344955444336]","[0.32355839014053345, 0.494779109954834]","[0.297926664352417, 0.5027567148208618]","[0.324695885181427, 0.5088889002799988]","[0.3585032820701599, 0.5086649656295776]"
"[0.3849427402019501, 0.5052013397216797]","[0.3525879383087158, 0.4971873462200165]","[0.3194429874420166, 0.49898895621299744]","[0.29331687092781067, 0.5072120428085327]","[0.32086360454559326, 0.5119485855102539]","[0.3544197082519531, 0.5108809471130371]"
"[0.38295289874076843, 0.5052640438079834]","[0.35023176670074463, 0.4973612129688263]","[0.31648123264312744, 0.4990350008010864]","[0.2898312211036682, 0.5071520209312439]","[0.31792595982551575, 0.5121063590049744]","[0.35204899311065674, 0.5109285712242126]"
"[0.3843383193016052, 0.5048927664756775]","[0.3512646555900574, 0.49697345495224]","[0.31714892387390137, 0.4985710382461548]","[0.28992992639541626, 0.5064852833747864]","[0.3186433017253876, 0.511441171169281]","[0.3532530665397644, 0.5103406310081482]"
"[0.3829556107521057, 0.5045355558395386]","[0.34943506121635437, 0.4962969124317169]","[0.3149295151233673, 0.4979027807712555]","[0.28724485635757446, 0.5058518648147583]","[0.3165208697319031, 0.5109009146690369]","[0.3515182435512543, 0.5099019408226013]"
"[0.3810540735721588, 0.5054291486740112]","[0.3473968505859375, 0.49701088666915894]","[0.3128179907798767, 0.49876371026039124]","[0.28519928455352783, 0.5071799159049988]","[0.3144095540046692, 0.5124660730361938]","[0.34954744577407837, 0.5112930536270142]"
"[0.3809150755405426, 0.5050215125083923]","[0.3470675051212311, 0.4963902235031128]","[0.3123900890350342, 0.49815624952316284]","[0.2847323417663574, 0.5067158937454224]","[0.31396740674972534, 0.5119631290435791]","[0.34921979904174805, 0.5108242034912109]"
"[0.38241130113601685, 0.5044970512390137]","[0.3488330841064453, 0.49540814757347107]","[0.3140150010585785, 0.4970360994338989]","[0.2863972783088684, 0.5057508945465088]","[0.3155321180820465, 0.5111905336380005]","[0.3507283329963684, 0.5101731419563293]"
"[0.38194212317466736, 0.5046600699424744]","[0.348934143781662, 0.495411217212677]","[0.31475523114204407, 0.49702513217926025]","[0.2876841425895691, 0.5057159066200256]","[0.31641554832458496, 0.5108617544174194]","[0.3509019911289215, 0.5099393129348755]"
"[0.38254934549331665, 0.5050050020217896]","[0.3494386076927185, 0.4959799349308014]","[0.31527528166770935, 0.49754875898361206]","[0.28785771131515503, 0.505997359752655]","[0.3168242871761322, 0.5113111734390259]","[0.35150712728500366, 0.5103922486305237]"
"[0.3817983567714691, 0.5058816075325012]","[0.3488136827945709, 0.4971054792404175]","[0.31474894285202026, 0.4987668991088867]","[0.2874094843864441, 0.5072770118713379]","[0.3163416087627411, 0.5125123262405396]","[0.35089826583862305, 0.5114316940307617]"
"[0.38379815220832825, 0.5052309632301331]","[0.3506237268447876, 0.4964866638183594]","[0.31659793853759766, 0.4982525706291199]","[0.28938204050064087, 0.5067363977432251]","[0.31855666637420654, 0.511750340461731]","[0.3531087636947632, 0.5106950402259827]"
"[0.38392242789268494, 0.5044221878051758]","[0.3505444824695587, 0.49471279978752136]","[0.31614649295806885, 0.4963191747665405]","[0.2892310917377472, 0.5051839351654053]","[0.31815066933631897, 0.5105608701705933]","[0.35280853509902954, 0.5097829103469849]"
"[0.38413652777671814, 0.5037725567817688]","[0.35110223293304443, 0.49401775002479553]","[0.3167480230331421, 0.4954717755317688]","[0.2896759808063507, 0.5040702223777771]","[0.3187623620033264, 0.509531557559967]","[0.35323911905288696, 0.5088993310928345]"
"[0.38452228903770447, 0.5041110515594482]","[0.35132235288619995, 0.4943960905075073]","[0.31698015332221985, 0.4958266019821167]","[0.29002928733825684, 0.5042411684989929]","[0.31891241669654846, 0.5098317861557007]","[0.3534921705722809, 0.5092528462409973]"
"[0.38326460123062134, 0.5045945644378662]","[0.3501375913619995, 0.49504998326301575]","[0.3160017430782318, 0.49656757712364197]","[0.2891388535499573, 0.5050716996192932]","[0.3179151117801666, 0.5105351209640503]","[0.35235947370529175, 0.5098499059677124]"
"[0.3830787241458893, 0.50398188829422]","[0.34960365295410156, 0.4938005805015564]","[0.3149831295013428, 0.4952881932258606]","[0.28824520111083984, 0.5041528344154358]","[0.31724995374679565, 0.5098480582237244]","[0.35191792249679565, 0.5092301368713379]"
"[0.3833068311214447, 0.5041224360466003]","[0.3501465916633606, 0.4941154718399048]","[0.3159925639629364, 0.4955700635910034]","[0.2891988158226013, 0.5043593645095825]","[0.3179127871990204, 0.5100110769271851]","[0.35234761238098145, 0.5094139575958252]"
"[0.3819884657859802, 0.5038846731185913]","[0.3484369218349457, 0.4934622645378113]","[0.3135225176811218, 0.4948422312736511]","[0.2865247130393982, 0.5037479400634766]","[0.3155626654624939, 0.5096621513366699]","[0.35051047801971436, 0.509160578250885]"
"[0.38112834095954895, 0.503905177116394]","[0.3475647568702698, 0.49407851696014404]","[0.313041090965271, 0.4955512285232544]","[0.2858303189277649, 0.5042233467102051]","[0.3149193227291107, 0.5098111629486084]","[0.34984973073005676, 0.5092280507087708]"
"[0.38072916865348816, 0.5038241147994995]","[0.34774643182754517, 0.49394869804382324]","[0.31332266330718994, 0.4953213036060333]","[0.28612321615219116, 0.5038530826568604]","[0.31511521339416504, 0.5094384551048279]","[0.34974899888038635, 0.5088892579078674]"
"[0.3807225227355957, 0.5042926073074341]","[0.3472824990749359, 0.49435490369796753]","[0.3129599392414093, 0.49593234062194824]","[0.2861174941062927, 0.504865825176239]","[0.3147287368774414, 0.5104386806488037]","[0.3493942320346832, 0.5098080635070801]"
"[0.3805767893791199, 0.5042043924331665]","[0.3474059998989105, 0.4944670498371124]","[0.3128338158130646, 0.4959827661514282]","[0.2857421040534973, 0.5045967102050781]","[0.3146776556968689, 0.5100910663604736]","[0.34937164187431335, 0.5094087719917297]"
"[0.37941038608551025, 0.5052366852760315]","[0.34640517830848694, 0.4959600865840912]","[0.3125472068786621, 0.49771854281425476]","[0.285433292388916, 0.50648432970047]","[0.31428325176239014, 0.5115050077438354]","[0.3486254811286926, 0.510631263256073]"
"[0.37811264395713806, 0.5071468949317932]","[0.34477269649505615, 0.4983740746974945]","[0.31080275774002075, 0.5003527998924255]","[0.28378328680992126, 0.5092934370040894]","[0.3128330111503601, 0.5139604806900024]","[0.34731289744377136, 0.5127143859863281]"
"[0.3813324570655823, 0.5058764815330505]","[0.34907495975494385, 0.4966202676296234]","[0.31575310230255127, 0.4981553852558136]","[0.2892836332321167, 0.5068708062171936]","[0.31708258390426636, 0.5119913816452026]","[0.35085731744766235, 0.5112472772598267]"
"[0.37890738248825073, 0.5037422180175781]","[0.34488630294799805, 0.49317294359207153]","[0.309622585773468, 0.4947035312652588]","[0.282553493976593, 0.5040125846862793]","[0.3118249475955963, 0.5097359418869019]","[0.3470143675804138, 0.5091423988342285]"
"[0.37897416949272156, 0.5043445825576782]","[0.34538984298706055, 0.4946514964103699]","[0.31055888533592224, 0.49624425172805786]","[0.2834275960922241, 0.505200207233429]","[0.3125276267528534, 0.5105382204055786]","[0.3474375009536743, 0.5097804069519043]"
